K,partition,avg_coverage,min_coverage,avg_sequences
5,test,1.0,1.0,3052.0
5,train,1.0,1.0,5775.333333333333
5,val,1.0,1.0,328.6666666666667
10,test,1.0,1.0,3027.0
10,train,1.0,1.0,5735.333333333333
10,val,1.0,1.0,318.6666666666667
20,test,1.0,1.0,2977.0
20,train,1.0,1.0,5655.333333333333
20,val,1.0,1.0,298.6666666666667
30,test,1.0,1.0,2927.0
30,train,1.0,1.0,5575.333333333333
30,val,1.0,1.0,278.6666666666667
40,test,1.0,1.0,2877.0
40,train,1.0,1.0,5495.333333333333
40,val,1.0,1.0,258.6666666666667
50,test,0.9333333333333332,0.8,2829.3333333333335
50,train,0.9166666666666666,0.875,5420.0
50,val,1.0,1.0,238.66666666666666
60,test,0.8666666666666667,0.8,2785.0
60,train,0.9166666666666666,0.875,5346.666666666667
60,val,0.6666666666666666,0.5,223.33333333333334
80,test,0.8666666666666667,0.8,2698.3333333333335
80,train,0.9166666666666666,0.875,5200.0
80,val,0.6666666666666666,0.5,196.66666666666666
100,test,0.8666666666666667,0.8,2611.6666666666665
100,train,0.9166666666666666,0.875,5053.333333333333
100,val,0.6666666666666666,0.5,170.0
120,test,0.8000000000000002,0.8,2526.6666666666665
120,train,0.9166666666666666,0.875,4906.666666666667
120,val,0.3333333333333333,0.0,146.66666666666666
140,test,0.6666666666666666,0.4,2457.6666666666665
140,train,0.75,0.625,4782.0
140,val,0.3333333333333333,0.0,133.33333333333334
160,test,0.6,0.2,2391.3333333333335
160,train,0.6666666666666666,0.5,4662.666666666667
160,val,0.3333333333333333,0.0,120.0
