protocol,split_name,model,feature_setting,K,mae,rmse,spearman,late_mae,monotonic_violation_rate
cross_condition,cross_train_C1_C2_test_C3,latent_ode,wavelet_only,40.0,0.208804540570496,0.2457353037921614,0.21150999584074426,0.25639967624467397,0.375503608570086
cross_condition,cross_train_C1_C2_test_C3,Transformer,frequency,40.0,0.21689007246551922,0.2546211618489199,0.6667384551861801,0.27626171951706335,0.10782441268943035
cross_condition,cross_train_C1_C2_test_C3,Transformer,time,40.0,0.2179427752509872,0.2556170397260481,0.002941745797116746,0.23608026491691753,0.13628615826053309
cross_condition,cross_train_C1_C2_test_C3,Transformer,original,40.0,0.21979749894402412,0.2580661419736031,0.3629696880216645,0.26820668063719333,0.1526049903000192
cross_condition,cross_train_C1_C2_test_C3,LSTM,time,40.0,0.22487290896685108,0.2630212827111337,0.12167674014910794,0.27668884660986465,0.018840777969221897
cross_condition,cross_train_C1_C2_test_C3,LSTM,wavelet_only,40.0,0.22604392502066245,0.2634410693595568,0.3706045016231128,0.2773497585539212,0.01591485129806148
cross_condition,cross_train_C1_C2_test_C3,TCN,original,40.0,0.2262397172675791,0.2638315688740967,0.6058603804083744,0.26501516367317457,0.15029369865821637
cross_condition,cross_train_C1_C2_test_C3,TCN,time,40.0,0.22748209539551278,0.2643323040586132,0.31593431599655786,0.2903035382971033,0.07771152479534472
cross_condition,cross_train_C1_C2_test_C3,TCN,frequency,40.0,0.22833679424210115,0.26746094714031765,0.7723134945543974,0.30349297792155017,0.11632058463712769
cross_condition,cross_train_C1_C2_test_C3,latent_ode,time,40.0,0.23050716181387926,0.2689792997094643,0.11864458754913647,0.2668278183637094,0.23929589401263202
cross_condition,cross_train_C1_C2_test_C3,TCN,wavelet_only,40.0,0.23154279827271532,0.27992714441023914,0.6822627924986719,0.24859882239844575,0.1406970872472685
cross_condition,cross_train_C1_C2_test_C3,latent_ode,frequency,40.0,0.2329973459417361,0.27771203633359587,0.6196953115587562,0.2930178038969365,0.21413708476445487
cross_condition,cross_train_C1_C2_test_C3,Transformer,wavelet_only,40.0,0.2353261073203492,0.28237157814512837,0.2611217589886142,0.2009340403150542,0.20570701363328894
cross_condition,cross_train_C1_C2_test_C3,LSTM,original,40.0,0.2547649337118112,0.3044686082790406,0.4035351929726529,0.3232138069019646,0.08463056292146551
cross_condition,cross_train_C1_C2_test_C3,LSTM,frequency,40.0,0.25575993789731005,0.3057569223961659,0.24109031246720874,0.31757824889988984,0.05115305509503848
cross_condition,cross_train_C1_C2_test_C3,Ridge,time,,0.2586169239336802,0.2991047807324195,0.29937834287898024,0.31950626368621415,0.15642698037402514
cross_condition,cross_train_C1_C2_test_C3,Ridge,wavelet_only,,0.2709482629598718,0.321758081671855,0.35347868438065316,0.30610689535500435,0.3216270965221781
cross_condition,cross_train_C1_C2_test_C3,Ridge,original,,0.2928714410451848,0.34599839785434616,0.5241938296020161,0.41117538136072823,0.3053769362386386
cross_condition,cross_train_C1_C2_test_C3,Ridge,frequency,,0.2948814260968852,0.34745927602562754,0.5725181489028158,0.4131359859665866,0.29044000809195664
