protocol,split_name,model,input_type,best_params,mae,rmse,r2,num_train_bearings,num_val_bearings,num_test_bearings
cross_condition,cross_train_C2_C3_test_C1,TCN,feature_sequence,"{""batch_size"": 64, ""best_epoch"": 1, ""best_val_mae"": 0.3455246787762133, ""dropout"": 0.1, ""epochs"": 100, ""hidden_dim"": 64, ""kernel_size"": 3, ""learning_rate"": 0.001, ""levels"": 3, ""patience"": 10}",0.1632371425723772,0.2078504860649246,0.4098704773128071,8,2,5
cross_condition,cross_train_C2_C3_test_C1,latent_ode,feature_sequence_continuous_time,"{""batch_size"": 64, ""best_epoch"": 2, ""best_val_mae"": 0.35551463199860345, ""conditioning"": ""none"", ""epochs"": 100, ""latent_dim"": 16, ""learning_rate"": 0.001, ""ode_method"": ""rk4"", ""patience"": 10, ""smooth_weight"": 0.0001}",0.1868416992564165,0.2329016740319831,0.2590473200125593,8,2,5
cross_condition,cross_train_C2_C3_test_C1,LSTM,feature_sequence,"{""batch_size"": 64, ""best_epoch"": 1, ""best_val_mae"": 0.2776215263931402, ""dropout"": 0.1, ""epochs"": 100, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""num_layers"": 1, ""patience"": 10}",0.1896635249001014,0.231376145800231,0.2687221521493667,8,2,5
cross_condition,cross_train_C2_C3_test_C1,condition_aware_ode,feature_sequence_continuous_time,"{""batch_size"": 64, ""best_epoch"": 1, ""best_val_mae"": 0.2847834182763752, ""conditioning"": ""film_encoder_ode_decoder"", ""epochs"": 100, ""latent_dim"": 16, ""learning_rate"": 0.001, ""ode_method"": ""rk4"", ""patience"": 10, ""smooth_weight"": 0.0001}",0.209908686394782,0.2767162985360143,-0.0459591716084755,8,2,5
cross_condition,cross_train_C1_C3_test_C2,latent_ode,feature_sequence_continuous_time,"{""batch_size"": 64, ""best_epoch"": 4, ""best_val_mae"": 0.25580908806138747, ""conditioning"": ""none"", ""epochs"": 100, ""latent_dim"": 16, ""learning_rate"": 0.001, ""ode_method"": ""rk4"", ""patience"": 10, ""smooth_weight"": 0.0001}",0.2202052800051401,0.2594228186608958,0.1541143537179953,8,2,5
cross_condition,cross_train_C1_C3_test_C2,TCN,feature_sequence,"{""batch_size"": 64, ""best_epoch"": 14, ""best_val_mae"": 0.33859689207104027, ""dropout"": 0.1, ""epochs"": 100, ""hidden_dim"": 64, ""kernel_size"": 3, ""learning_rate"": 0.001, ""levels"": 3, ""patience"": 10}",0.2299517847251654,0.2742451401856382,0.054692314485786,8,2,5
cross_condition,cross_train_C1_C2_test_C3,condition_aware_ode,feature_sequence_continuous_time,"{""batch_size"": 64, ""best_epoch"": 1, ""best_val_mae"": 0.2442791133219156, ""conditioning"": ""film_encoder_ode_decoder"", ""epochs"": 100, ""latent_dim"": 16, ""learning_rate"": 0.001, ""ode_method"": ""rk4"", ""patience"": 10, ""smooth_weight"": 0.0001}",0.2308303345914029,0.2697592652216386,0.117235731329167,8,2,5
cross_condition,cross_train_C2_C3_test_C1,Transformer,feature_sequence_transformer,"{""batch_size"": 64, ""best_epoch"": 2, ""best_val_mae"": 0.31757410069520786, ""d_model"": 64, ""dim_feedforward"": 128, ""dropout"": 0.1, ""epochs"": 100, ""learning_rate"": 0.001, ""nhead"": 4, ""num_layers"": 2, ""patience"": 10}",0.2335803751970744,0.2850560444952246,-0.1099559966850243,8,2,5
cross_condition,cross_train_C1_C3_test_C2,LSTM,feature_sequence,"{""batch_size"": 64, ""best_epoch"": 2, ""best_val_mae"": 0.29425768804660923, ""dropout"": 0.1, ""epochs"": 100, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""num_layers"": 1, ""patience"": 10}",0.2343056745637994,0.2764073963375013,0.0397271982756082,8,2,5
cross_condition,cross_train_C2_C3_test_C1,Ridge,current_window_features,"{""alpha"": 100.0}",0.252394072559523,0.3720772519422371,-0.6345052075723232,8,2,5
cross_condition,cross_train_C1_C3_test_C2,condition_aware_ode,feature_sequence_continuous_time,"{""batch_size"": 64, ""best_epoch"": 1, ""best_val_mae"": 0.40246765148326036, ""conditioning"": ""film_encoder_ode_decoder"", ""epochs"": 100, ""latent_dim"": 16, ""learning_rate"": 0.001, ""ode_method"": ""rk4"", ""patience"": 10, ""smooth_weight"": 0.0001}",0.2602442994314208,0.3085629365919072,-0.1966932083900059,8,2,5
cross_condition,cross_train_C1_C2_test_C3,Transformer,feature_sequence_transformer,"{""batch_size"": 64, ""best_epoch"": 2, ""best_val_mae"": 0.16195269189425432, ""d_model"": 64, ""dim_feedforward"": 128, ""dropout"": 0.1, ""epochs"": 100, ""learning_rate"": 0.001, ""nhead"": 4, ""num_layers"": 2, ""patience"": 10}",0.2754911888222594,0.3438537269079345,-0.4342982805990456,8,2,5
cross_condition,cross_train_C1_C3_test_C2,Transformer,feature_sequence_transformer,"{""batch_size"": 64, ""best_epoch"": 1, ""best_val_mae"": 0.28451824997476227, ""d_model"": 64, ""dim_feedforward"": 128, ""dropout"": 0.1, ""epochs"": 100, ""learning_rate"": 0.001, ""nhead"": 4, ""num_layers"": 2, ""patience"": 10}",0.2801879158155976,0.3457397197203455,-0.502428659460219,8,2,5
cross_condition,cross_train_C1_C2_test_C3,latent_ode,feature_sequence_continuous_time,"{""batch_size"": 64, ""best_epoch"": 2, ""best_val_mae"": 0.26707274322685143, ""conditioning"": ""none"", ""epochs"": 100, ""latent_dim"": 16, ""learning_rate"": 0.001, ""ode_method"": ""rk4"", ""patience"": 10, ""smooth_weight"": 0.0001}",0.2811661358146889,0.3590888668946882,-0.5642129865524925,8,2,5
cross_condition,cross_train_C1_C2_test_C3,TCN,feature_sequence,"{""batch_size"": 64, ""best_epoch"": 1, ""best_val_mae"": 0.16848617487475612, ""dropout"": 0.1, ""epochs"": 100, ""hidden_dim"": 64, ""kernel_size"": 3, ""learning_rate"": 0.001, ""levels"": 3, ""patience"": 10}",0.2869197306657493,0.3482662370997053,-0.4713457974371213,8,2,5
cross_condition,cross_train_C1_C2_test_C3,LSTM,feature_sequence,"{""batch_size"": 64, ""best_epoch"": 2, ""best_val_mae"": 0.19272549151525342, ""dropout"": 0.1, ""epochs"": 100, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""num_layers"": 1, ""patience"": 10}",0.2964313445907,0.3663045676232247,-0.6277086607774174,8,2,5
cross_condition,cross_train_C1_C2_test_C3,Ridge,current_window_features,"{""alpha"": 100.0}",0.3429678894834137,0.4220105917795712,-1.1340734415920033,8,2,5
cross_condition,cross_train_C1_C3_test_C2,Ridge,current_window_features,"{""alpha"": 100.0}",0.352864614185029,0.4268106061041694,-1.1720334967710446,8,2,5
