model,split_name,keep_ratio,mae,rmse,r2
LSTM,cross_train_C1_C2_test_C3,1.0,0.278291661705165,0.3450904793595438,-0.4446344314320172
TCN,cross_train_C1_C2_test_C3,1.0,0.27984527031483986,0.36026596406300215,-0.5744848085671492
Transformer,cross_train_C1_C2_test_C3,1.0,0.2522772725971338,0.32051882702577283,-0.2462325649908994
latent_ode,cross_train_C1_C2_test_C3,1.0,0.24385866844443585,0.33100631131148517,-0.3291211080908074
LSTM,cross_train_C1_C2_test_C3,0.7,0.2648741988019567,0.3110026550845988,-0.17333006613305857
TCN,cross_train_C1_C2_test_C3,0.7,0.27892894796622647,0.34187823772058934,-0.417865121606914
Transformer,cross_train_C1_C2_test_C3,0.7,0.26775398502086994,0.33322606326526355,-0.3470072425894062
latent_ode,cross_train_C1_C2_test_C3,0.7,0.29593101389082865,0.3621397981900679,-0.5909059881944769
LSTM,cross_train_C1_C2_test_C3,0.5,0.31695447064883225,0.3763677382611846,-0.7183704054918298
TCN,cross_train_C1_C2_test_C3,0.5,0.2909019230444771,0.3526494269826822,-0.5086148246277207
Transformer,cross_train_C1_C2_test_C3,0.5,0.24997059826734036,0.31650271468675184,-0.21519754872757169
latent_ode,cross_train_C1_C2_test_C3,0.5,0.2838992423449206,0.3715519381043449,-0.6746770476653026
LSTM,cross_train_C1_C3_test_C2,1.0,0.27334617394102856,0.3321526983385423,-0.38666284180275046
TCN,cross_train_C1_C3_test_C2,1.0,0.2180836269676011,0.26110624297293505,0.1431006374345133
Transformer,cross_train_C1_C3_test_C2,1.0,0.2237167070671196,0.26460850681181597,0.11995898693835227
latent_ode,cross_train_C1_C3_test_C2,1.0,0.24442762993840306,0.2977126252071411,-0.11401185578590955
LSTM,cross_train_C1_C3_test_C2,0.7,0.26789732615235046,0.3315029115381971,-0.3812427210400866
TCN,cross_train_C1_C3_test_C2,0.7,0.23700385585901698,0.2828096699445022,-0.005272536610354761
Transformer,cross_train_C1_C3_test_C2,0.7,0.19840162863984293,0.24004523683162823,0.27576169038010356
latent_ode,cross_train_C1_C3_test_C2,0.7,0.25100130418875877,0.3035746351997711,-0.15831391008446993
LSTM,cross_train_C1_C3_test_C2,0.5,0.24173668439712506,0.29818400444994086,-0.11754235965440007
TCN,cross_train_C1_C3_test_C2,0.5,0.23728603179421862,0.2872076142739876,-0.03678142344788937
Transformer,cross_train_C1_C3_test_C2,0.5,0.21641593703811524,0.2622183719740411,0.1357855143701887
latent_ode,cross_train_C1_C3_test_C2,0.5,0.22581220049267778,0.28109007677232095,0.006915196060666706
LSTM,cross_train_C2_C3_test_C1,1.0,0.19899432391707905,0.24853834069750327,0.15621453100372584
TCN,cross_train_C2_C3_test_C1,1.0,0.16845943120638454,0.20568177566651005,0.42212104492129976
Transformer,cross_train_C2_C3_test_C1,1.0,0.17564917603612024,0.22207457565541722,0.32633662805496466
latent_ode,cross_train_C2_C3_test_C1,1.0,0.19479398374672452,0.2364137689390235,0.23653209242367534
LSTM,cross_train_C2_C3_test_C1,0.7,0.18536143903840732,0.22758435914406963,0.29249408317617753
TCN,cross_train_C2_C3_test_C1,0.7,0.19381588263414318,0.23959164929939003,0.2158690297886401
Transformer,cross_train_C2_C3_test_C1,0.7,0.17376002143406277,0.22209070948161663,0.3262387405544399
latent_ode,cross_train_C2_C3_test_C1,0.7,0.18108549521014342,0.21885473711628073,0.34572977636114066
LSTM,cross_train_C2_C3_test_C1,0.5,0.17440638927279625,0.21937042171929616,0.3426428467639636
TCN,cross_train_C2_C3_test_C1,0.5,0.18964938805976567,0.22328351762088766,0.3189820111580294
Transformer,cross_train_C2_C3_test_C1,0.5,0.19365427383970332,0.24316138950524593,0.192329006949428
latent_ode,cross_train_C2_C3_test_C1,0.5,0.19442528047502666,0.2324661719529619,0.2618157392502315
