bearing_id,condition_id,n_points,mae,rmse,spearman,late_mae,monotonic_violation_rate,model,feature_setting,K,protocol,split_name,best_params
C3_Bearing3_1,C3,2538,0.20723212664109164,0.24025019202724826,0.90798469981448,0.328791976461781,0.32676389436342135,Ridge,wavelet_only,NA,cross_condition,cross_train_C1_C2_test_C3,"{""alpha"": 1000.0}"
C3_Bearing3_2,C3,2496,0.2600325181170914,0.30476007586066933,-0.25136660718554615,0.2546849136034217,0.35671342685370744,Ridge,wavelet_only,NA,cross_condition,cross_train_C1_C2_test_C3,"{""alpha"": 1000.0}"
C3_Bearing3_3,C3,371,0.22966661822111056,0.27513800100211316,-0.1783775513691782,0.3281663097021682,0.3054054054054054,Ridge,wavelet_only,NA,cross_condition,cross_train_C1_C2_test_C3,"{""alpha"": 1000.0}"
C3_Bearing3_4,C3,1515,0.2704629380868367,0.3418404183525463,0.6458264292791477,0.4942889782623132,0.36261558784676357,Ridge,wavelet_only,NA,cross_condition,cross_train_C1_C2_test_C3,"{""alpha"": 1000.0}"
C3_Bearing3_5,C3,114,0.3873471137332289,0.44680172111669814,0.6433264513643626,0.12460229874533765,0.25663716814159293,Ridge,wavelet_only,NA,cross_condition,cross_train_C1_C2_test_C3,"{""alpha"": 1000.0}"
C3_Bearing3_1,C3,2499,0.22254992200748525,0.2532287609191411,0.9143239066643473,0.25864596505682386,0.008006405124099279,LSTM,wavelet_only,40,cross_condition,cross_train_C1_C2_test_C3,"{""dropout"": 0.1, ""hidden_dim"": 64, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}"
C3_Bearing3_2,C3,2457,0.22436590047857274,0.258164209985428,0.430014207009294,0.25200897939598005,0.053338762214983716,LSTM,wavelet_only,40,cross_condition,cross_train_C1_C2_test_C3,"{""dropout"": 0.1, ""hidden_dim"": 64, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}"
C3_Bearing3_3,C3,332,0.19534729466302297,0.22956765697306777,0.6755392600040073,0.27981872441297445,0.012084592145015106,LSTM,wavelet_only,40,cross_condition,cross_train_C1_C2_test_C3,"{""dropout"": 0.1, ""hidden_dim"": 64, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}"
C3_Bearing3_4,C3,1476,0.22777360422827927,0.26346999282444605,0.27789453843028644,0.3314545432788801,0.015593220338983051,LSTM,wavelet_only,40,cross_condition,cross_train_C1_C2_test_C3,"{""dropout"": 0.1, ""hidden_dim"": 64, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}"
C3_Bearing3_5,C3,75,0.23515743672847747,0.28525348777730203,0.6131152204836415,0.0842747015549856,0.0,LSTM,wavelet_only,40,cross_condition,cross_train_C1_C2_test_C3,"{""dropout"": 0.1, ""hidden_dim"": 64, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}"
C3_Bearing3_1,C3,2499,0.17440659649830004,0.1957182109246341,0.9449291307129601,0.22246001876329666,0.22137710168134508,TCN,wavelet_only,40,cross_condition,cross_train_C1_C2_test_C3,"{""dropout"": 0.1, ""hidden_dim"": 64, ""kernel_size"": 3, ""levels"": 2, ""lr"": 0.001, ""weight_decay"": 0.0001}"
C3_Bearing3_2,C3,2457,0.2784514483055174,0.34985905352674573,0.6150223053708023,0.08321703696327822,0.18729641693811075,TCN,wavelet_only,40,cross_condition,cross_train_C1_C2_test_C3,"{""dropout"": 0.1, ""hidden_dim"": 64, ""kernel_size"": 3, ""levels"": 2, ""lr"": 0.001, ""weight_decay"": 0.0001}"
C3_Bearing3_3,C3,332,0.21059723196450217,0.25366067466060205,0.2120207784678356,0.3153260185861507,0.22658610271903323,TCN,wavelet_only,40,cross_condition,cross_train_C1_C2_test_C3,"{""dropout"": 0.1, ""hidden_dim"": 64, ""kernel_size"": 3, ""levels"": 2, ""lr"": 0.001, ""weight_decay"": 0.0001}"
C3_Bearing3_4,C3,1476,0.26031105109604974,0.31670398639222064,-0.3401272984718418,0.4468313694110263,0.14372881355932204,TCN,wavelet_only,40,cross_condition,cross_train_C1_C2_test_C3,"{""dropout"": 0.1, ""hidden_dim"": 64, ""kernel_size"": 3, ""levels"": 2, ""lr"": 0.001, ""weight_decay"": 0.0001}"
C3_Bearing3_5,C3,75,0.2548812965590817,0.292199854437385,0.8935704125177809,0.12365930292734821,0.24324324324324326,TCN,wavelet_only,40,cross_condition,cross_train_C1_C2_test_C3,"{""dropout"": 0.1, ""hidden_dim"": 64, ""kernel_size"": 3, ""levels"": 2, ""lr"": 0.001, ""weight_decay"": 0.0001}"
