protocol,split_name,model,feature_setting,K,mae,rmse,spearman,late_mae,monotonic_violation_rate
cross_condition,cross_train_C1_C2_test_C3,Transformer,wavelet_only,40,0.2142211102816416,0.25620095236295615,0.38315465179047925,0.18269832343794895,0.2241749585937066
cross_condition,cross_train_C1_C2_test_C3,LSTM,wavelet_only,40,0.22103883162116755,0.25793682169587695,0.5821774265183153,0.2412405827399288,0.017804595964616234
cross_condition,cross_train_C1_C2_test_C3,TCN,wavelet_only,40,0.23572952488469018,0.2816283559883175,0.4650830657195074,0.23829874933022005,0.20444633562821085
cross_condition,cross_train_C1_C2_test_C3,latent_ode,wavelet_only,40,0.23731010325070706,0.281620675072306,0.23647775654983727,0.21536504150664607,0.42126668953923263
cross_condition,cross_train_C1_C2_test_C3,Ridge,wavelet_only,NA,0.27094826295987184,0.32175808167185505,0.35347868438065316,0.30610689535500435,0.32162709652217814
cross_condition,cross_train_C1_C3_test_C2,TCN,wavelet_only,40,0.12944606903930142,0.15997697423039067,0.4908170220671974,0.09592442454648316,0.272803429648543
cross_condition,cross_train_C1_C3_test_C2,Transformer,wavelet_only,40,0.15406356225803636,0.1818223692335374,0.6543968558315493,0.16812454964693865,0.29441316545035456
cross_condition,cross_train_C1_C3_test_C2,LSTM,wavelet_only,40,0.19870565276204646,0.23458126816328803,0.5254693165978276,0.14283167852803944,0.25326227021396785
cross_condition,cross_train_C1_C3_test_C2,Ridge,wavelet_only,NA,0.2697736034139065,0.32106591300592835,0.3966367346130986,0.2060984229378458,0.3786833100704258
cross_condition,cross_train_C1_C3_test_C2,latent_ode,wavelet_only,40,0.28286975125031283,0.3344293491230926,0.10682032977712026,0.26272841437646866,0.41288052808911
cross_condition,cross_train_C2_C3_test_C1,TCN,wavelet_only,40,0.1351122481894389,0.1650457053795627,0.5682693256504222,0.13085435181684718,0.21685589844336298
cross_condition,cross_train_C2_C3_test_C1,LSTM,wavelet_only,40,0.17780813103144186,0.2023654582979216,0.5239088630638665,0.18573469028872153,0.18207849625417377
cross_condition,cross_train_C2_C3_test_C1,Transformer,wavelet_only,40,0.19237847069232758,0.2358515775996187,0.6031066334332282,0.1642597626171735,0.14934353109793796
cross_condition,cross_train_C2_C3_test_C1,Ridge,wavelet_only,NA,0.21396310362407042,0.2581491855013488,0.5808533004403602,0.20334883002120674,0.30324729896532243
cross_condition,cross_train_C2_C3_test_C1,latent_ode,wavelet_only,40,0.27922183170449194,0.3059323723479842,0.15137933269983525,0.2970554768339331,0.35206284397786775
