split_name,model,config_id,params,val_mae,val_rmse,val_spearman,best_epoch,val_late_mae
cross_train_C1_C2_test_C3,Ridge,ridge_alpha_0.001,"{""alpha"": 0.001}",0.42733767825463675,0.4909501012589596,0.40790133863830497,,
cross_train_C1_C2_test_C3,Ridge,ridge_alpha_0.01,"{""alpha"": 0.01}",0.4271753967030319,0.49082046991373923,0.3830224752567488,,
cross_train_C1_C2_test_C3,Ridge,ridge_alpha_0.1,"{""alpha"": 0.1}",0.4276957073439013,0.4906513144995722,0.4081371009306045,,
cross_train_C1_C2_test_C3,Ridge,ridge_alpha_1.0,"{""alpha"": 1.0}",0.42908943940989763,0.49121184130962725,0.5851955081231344,,
cross_train_C1_C2_test_C3,Ridge,ridge_alpha_10.0,"{""alpha"": 10.0}",0.42858958253500645,0.4855541807925551,0.6147889725979401,,
cross_train_C1_C2_test_C3,Ridge,ridge_alpha_100.0,"{""alpha"": 100.0}",0.32216168964417563,0.3609286221753858,0.9080865269270829,,
cross_train_C1_C2_test_C3,Ridge,ridge_alpha_1000.0,"{""alpha"": 1000.0}",0.19140253083404032,0.21936848750973437,0.9281689665002645,,
cross_train_C1_C2_test_C3,LSTM,1,"{""dropout"": 0.0, ""hidden_dim"": 32, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}",0.10678515716157376,0.12388167734956365,0.9688757652862809,2.0,0.05801935444113997
cross_train_C1_C2_test_C3,LSTM,2,"{""dropout"": 0.1, ""hidden_dim"": 64, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}",0.10228587902043587,0.12310583126431843,0.9533009255658397,1.0,0.060864822100777725
cross_train_C1_C2_test_C3,LSTM,3,"{""dropout"": 0.1, ""hidden_dim"": 128, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}",0.10494397326360624,0.12746362986981616,0.9298468871876354,1.0,0.06503684613832622
cross_train_C1_C2_test_C3,LSTM,4,"{""dropout"": 0.1, ""hidden_dim"": 64, ""lr"": 0.001, ""num_layers"": 2, ""weight_decay"": 0.0001}",0.1215961018922285,0.14649873847219946,0.9519988505145756,1.0,0.07725934307428069
cross_train_C1_C2_test_C3,LSTM,5,"{""dropout"": 0.2, ""hidden_dim"": 128, ""lr"": 0.0005, ""num_layers"": 2, ""weight_decay"": 0.0001}",0.11853882517677565,0.1450701552438544,0.9669954110601229,1.0,0.07154140721333703
cross_train_C1_C2_test_C3,LSTM,6,"{""dropout"": 0.2, ""hidden_dim"": 64, ""lr"": 0.0005, ""num_layers"": 2, ""weight_decay"": 0.001}",0.15781912053350167,0.1748667792959373,0.9604961166235181,2.0,0.11617993325350431
cross_train_C1_C2_test_C3,TCN,1,"{""dropout"": 0.1, ""hidden_dim"": 32, ""kernel_size"": 3, ""levels"": 2, ""lr"": 0.001, ""weight_decay"": 0.0001}",0.13985043676542686,0.15749398194300088,0.9681414758098981,1.0,0.10281264112942382
cross_train_C1_C2_test_C3,TCN,2,"{""dropout"": 0.1, ""hidden_dim"": 64, ""kernel_size"": 3, ""levels"": 2, ""lr"": 0.001, ""weight_decay"": 0.0001}",0.12963950598631177,0.14900678824102878,0.962441249347215,1.0,0.07542958202933044
cross_train_C1_C2_test_C3,TCN,3,"{""dropout"": 0.1, ""hidden_dim"": 64, ""kernel_size"": 3, ""levels"": 3, ""lr"": 0.001, ""weight_decay"": 0.0001}",0.14737029533129525,0.16801323859293726,0.9585244280492005,1.0,0.0821107429249692
cross_train_C1_C2_test_C3,TCN,4,"{""dropout"": 0.1, ""hidden_dim"": 64, ""kernel_size"": 5, ""levels"": 3, ""lr"": 0.001, ""weight_decay"": 0.0001}",0.15511046408284948,0.1871790109500761,0.9537991533239258,1.0,0.08819558078255324
cross_train_C1_C2_test_C3,TCN,5,"{""dropout"": 0.1, ""hidden_dim"": 128, ""kernel_size"": 3, ""levels"": 3, ""lr"": 0.0005, ""weight_decay"": 0.0001}",0.13178715412472486,0.14699353155802514,0.9740387115412393,1.0,0.08625702593495221
cross_train_C1_C2_test_C3,TCN,6,"{""dropout"": 0.2, ""hidden_dim"": 128, ""kernel_size"": 5, ""levels"": 3, ""lr"": 0.0005, ""weight_decay"": 0.0001}",0.1486306195330544,0.16834977099658352,0.9833624818053535,1.0,0.09241385643880554
cross_train_C1_C2_test_C3,Transformer,1,"{""d_model"": 32, ""dim_feedforward"": 64, ""dropout"": 0.1, ""lr"": 0.001, ""nhead"": 2, ""num_layers"": 1, ""weight_decay"": 0.0001}",0.1373473506546221,0.16170830126968178,0.81130323670263,1.0,0.0747633473529743
